RentTotal,SqftLease,Rent/Sqft,1/SqftLease,FirmType,Age,Renovation,Wiring,Occupancy,LeaseLen,Renewable,Location,DistCity,DistAirp,DriveAirp,DistHosp,FloorLease,FloorsBldg,SqftFloor,Elevators,Parking,Restaurant,Exercise
404543,11016,36.72,0.000090777,BUS.,61,61,NO,0.9,3,NO,CITY,0.1,14.2,25,0.5,18,23,25041,7,1,NO,NO
2099613,51989,40.39,0.000019235,BUS.,25,4,YES,0.96,3,NO,SUBNEW,2.3,12.1,16,0.4,9,14,44919,5,6,YES,YES
1330234,36890,36.06,0.000027108,OTHER,44,44,NO,0.98,10,NO,CITY,0.2,14.1,25,0.5,16,21,17238,7,2,NO,NO
39377,1599,24.63,0.000625391,DOCTOR,16,16,NO,0.63,8,NO,SUBOLD,2.1,16.5,34,0.9,4,14,43127,5,0,NO,NO
1127760,33246,33.92,0.000030079,LEGAL,38,38,NO,0.92,8,NO,CITY,1,13.6,24,0.7,30,39,16704,6,2,NO,NO
67318,1782,37.78,0.000561167,BUS.,16,16,YES,0.82,4,NO,SUBNEW,4.6,12.5,22,2,10,18,51465,6,0,YES,YES
1475265,37348,39.5,0.000026775,BUS.,30,30,NO,0.84,5,NO,CITY,1.3,13.5,21,0.8,46,47,19446,10,5,NO,NO
127369,3662,34.78,0.000273075,DOCTOR,65,65,NO,1,8,NO,CITY,1.4,15.8,32,0.3,6,20,34540,6,0,NO,NO
757213,20355,37.2,0.000049128,DOCTOR,19,1,YES,0.95,4,NO,SUBNEW,4.9,11.1,18,0.6,22,22,47060,5,1,YES,YES
4256017,173500,24.53,0.000005764,BUS.,19,19,NO,0.62,10,NO,SUBOLD,5.8,19.2,45,1.8,2,11,18158,3,19,NO,NO
139461,3656,38.15,0.000273523,OTHER,52,52,NO,0.86,9,NO,CITY,0.9,13.5,22,0.2,4,10,20847,4,1,NO,NO
1847815,53373,34.62,0.000018736,BUS.,0,0,YES,0.74,5,NO,SUBNEW,2.7,11.9,15,0.8,18,21,56007,5,7,YES,YES
315658,8349,37.81,0.000119775,BUS.,11,11,YES,0.83,3,NO,SUBNEW,2.2,13.5,22,1.2,4,23,51048,6,0,NO,NO
1833629,44036,41.64,0.000022709,BUS.,10,10,YES,0.77,3,NO,SUBNEW,2.7,12.1,16,1.1,11,12,35720,5,0,YES,YES
146106,4000,36.53,0.00025,DOCTOR,37,37,NO,0.85,7,NO,CITY,0.8,13.6,22,0.2,23,37,37951,9,0,NO,NO
980992,30400,32.27,0.000032895,LEGAL,4,4,YES,0.85,4,NO,SUBOLD,2.2,16.6,34,1.2,8,12,47583,6,0,NO,NO
850455,32685,26.02,0.000030595,LEGAL,33,33,NO,0.74,4,NO,SUBOLD,4.4,18.4,41,0.5,17,21,53030,8,7,NO,NO
181384,6360,28.52,0.000157233,BUS.,41,27,NO,1,4,NO,SUBOLD,1.9,15.4,29,1.9,3,12,37974,3,0,YES,NO
809485,20111,40.25,0.000049724,BUS.,27,2,YES,0.74,3,NO,SUBNEW,4.1,11,14,1.2,14,17,32677,5,1,YES,YES
406444,16813,24.17,0.000059478,BUS.,24,24,NO,0.85,3,NO,SUBOLD,4.3,18.3,41,0.5,9,11,17181,3,0,YES,NO
615358,16775,36.68,0.000059613,BUS.,41,16,YES,0.88,7,YES,CITY,0.1,14.3,25,0.6,2,5,27100,3,1,NO,NO
1638186,60478,27.09,0.000016535,GOVT,29,11,NO,0.84,7,NO,SUBOLD,3.9,18,39,0.5,7,14,46046,9,3,YES,NO
205338,5478,37.48,0.000182548,GOVT,60,60,NO,0.89,6,NO,CITY,0.1,14.3,25,0.6,15,15,10062,4,2,NO,NO
942527,26474,35.6,0.000037773,LEGAL,59,59,NO,0.96,5,NO,CITY,0.9,13.5,23,0.6,2,4,13579,2,2,NO,NO
41110,1799,22.85,0.000555864,DOCTOR,30,30,NO,0.67,7,NO,SUBOLD,2.7,16.1,32,1.7,2,15,46114,6,0,NO,NO
124131,3355,37,0.000298063,LEGAL,59,59,NO,0.9,3,NO,CITY,1.1,14.5,25,1.3,30,34,20269,9,0,NO,NO
758962,19861,38.21,0.00005035,LEGAL,76,58,NO,0.95,9,YES,CITY,1,13.6,22,0.6,6,9,6432,2,0,NO,NO
938400,36908,25.43,0.000027094,LEGAL,38,38,NO,0.89,9,NO,SUBOLD,3.6,17.8,39,1,12,14,38961,5,6,NO,NO
244468,6345,38.53,0.000157604,BUS.,28,1,YES,0.97,3,NO,SUBNEW,2.2,12.4,17,0.8,13,21,66152,8,0,YES,YES
1484714,34910,42.53,0.000028645,LEGAL,50,10,YES,0.89,4,NO,CITY,1.3,14.2,24,1.2,21,37,20827,5,4,YES,YES
2260707,64667,34.96,0.000015464,BUS.,15,15,YES,0.75,8,NO,SUBNEW,5.2,11.1,20,0.7,9,14,70438,5,7,NO,NO
2536026,75662,33.52,0.000013217,BUS.,17,17,NO,0.91,4,NO,SUBNEW,4.7,13.8,27,1.5,7,20,43886,9,0,YES,NO
1096822,41139,26.66,0.000024308,BUS.,29,29,NO,0.63,3,NO,SUBOLD,2.1,16.3,33,1.5,6,15,52989,5,4,NO,NO
686009,19334,35.48,0.000051722,BUS.,17,17,NO,0.98,3,NO,SUBNEW,4.3,11.9,19,1.5,6,15,45865,5,0,YES,YES
992001,27765,35.73,0.000036017,LEGAL,44,44,NO,0.97,8,YES,CITY,0.2,14.6,27,0.9,10,20,27953,4,3,NO,NO
1032995,25331,40.78,0.000039477,BUS.,7,7,YES,0.98,5,NO,SUBNEW,5.1,11.2,20,0.8,5,6,18142,7,0,YES,YES
230939,6821,33.86,0.000146606,GOVT,47,47,NO,1,10,NO,CITY,0.7,14.3,26,0.6,6,12,21976,4,1,NO,NO
245984,6162,39.92,0.000162285,DOCTOR,15,15,YES,0.9,6,NO,CITY,0.4,14.7,27,0.7,1,53,30745,14,0,NO,NO
198397,8762,22.64,0.000114129,LEGAL,23,2,NO,0.6,10,NO,SUBOLD,1.8,15.9,31,1.3,8,13,44526,9,0,NO,NO
1403950,42224,33.25,0.000023683,BUS.,23,23,NO,0.84,3,NO,SUBNEW,1.8,13.7,22,1.5,6,11,23856,6,3,NO,NO
1229378,38301,32.1,0.000026109,GOVT,27,27,NO,0.69,8,NO,SUBNEW,3,12.3,17,1.8,5,16,39399,6,1,NO,NO
